name,channel_url,channel_handle,integration_price_inr,dedicated_price_inr,niche,notes,subscriber_count,total_views,video_count,channel_id
Malik ff,https://www.youtube.com/@malikff08,malikff08,50000.0,,"gaming , FF",betting,509000,36194048,225,UCLruoxoHSADmOXRXvfcdDYQ
Kreation Army,https://www.youtube.com/@kreationlive,kreationlive,60000.0,,"gaming , FF",betting,1940000,206439188,1000,UC2to8ff_riFkThMyYUiZIsw
Varsha Thapa,https://www.youtube.com/@varshathapa1427,varshathapa1427,100000.0,,vlog,,734000,304702967,1057,UCTBy9Awl5LByRtKET9PIUKw
Dare Series,https://youtube.com/@vinaykuyyashorts1914,vinaykuyyashorts1914,35000.0,,regional vlog,,285,7899,28,UCqQ45bhj-cx7dBASL1sya5Q
ITS ME CRAZY SANA,https://www.youtube.com/@itsmecrazysana,itsmecrazysana,50000.0,,regional vlog,,950000,287537197,455,UC98sykVhLeqOcCCNeTC1erw
KIND,https://youtube.com/@kind__,kind__,150000.0,,story,,3720000,1684679154,639,UCwvzAEKAY6XlhdR-N_wfZuw
Kuyya Vlogs,https://youtube.com/@kuyyavlogs1058,kuyyavlogs1058,40000.0,,regional vlog,,503000,883474,22,UCQv6PWnXCimmXL29vh76auw
BP Films,https://youtube.com/@bpfilms1,bpfilms1,45000.0,,regional vlog,,107000,6201911,31,UC6QX43_4g6MpJF__YmIYuaA
Banglar Gramin TV New,https://youtube.com/@banglargramintvnew,banglargramintvnew,40000.0,,regional vlog,,143000,58385836,105,UC3P_WVz4aSu5zlfvPLIM4GA
VAKEEL 420,https://youtube.com/@vakeel420,vakeel420,45000.0,,regional vlog,,1100000,185486266,226,UC-yjipJ95ftkCnXbRHSMGZw
SoloViner / Aduaith,https://youtube.com/@soloviner,soloviner,90000.0,,reaction channel,,1620000,198918685,271,UC-0UdGMHGwl4WrNUzHQEDSA
Nag mouni official,https://youtube.com/@nag_mouni_official,nag_mouni_official,65000.0,,regional vlog,,125000,52010719,275,UCC7dBdi4GIKp9vDkvR6XX3w
Jinnuthosonu,https://youtube.com/@jinnuthosonu2727,jinnuthosonu2727,65000.0,,regional vlog,,352000,119307771,357,UCLpifma4dXDmhJREOIA5suA
Vamshigaadi Muchatlu,https://youtube.com/@vamshigaadimuchatlu,vamshigaadimuchatlu,65000.0,,regional vlog,,94100,38134534,215,UCAhDUFG-mOvn_7L61sIzaUQ
Shree Prabha Talks,https://youtube.com/@shree_prabha_talks,shree_prabha_talks,65000.0,,regional vlog,,174000,4250645,35,UCh2CEZc0PWmWLUs5_kT5NvA
V R Facts In Telugu,https://youtube.com/@vrrajafacts,vrrajafacts,60000.0,,regional vlog,,1770000,404267722,920,UCekyMtsUuTBxInGbeSX3EUg
V R RAJA,https://youtube.com/@iamvrraja,iamvrraja,60000.0,,regional vlog,,1880000,420729564,1003,UCZ0hNUqXDl0YWh3ulUZy1jQ
Bong Polapan,https://youtube.com/@bongpolapan,bongpolapan,60000.0,,regional vlog,,623000,137546250,117,UCqC5ACD2HjaZtppCpHTb5bg
Gutsy Ladka,https://youtube.com/@gutsyladka,gutsyladka,15000.0,,roasting,,170000,56334968,325,UCe2zdJoARINLla8mX8KdWhg
TechPro Harsh,https://youtube.com/@techproharsh,techproharsh,15000.0,,"gaming, FF",,1310000,68724982,214,UCQIXviFw3qemjSUqLCARvNA
Income Skill,Youtube.com/@incomeskill,incomeskill,30000.0,,earning channel,,25,673,13,UCc_SVpZg-cpUIlirqhZfR4A
NazarBattuProductions,https://www.youtube.com/@NazarBattuProductions,NazarBattuProductions,300000.0,,story,,4140000,624515374,241,UC1_-cyLlwnmTAesbMgruDpQ
SoloViner XD,https://youtube.com/@solovinerxd,solovinerxd,70000.0,,gaming,,820000,134492150,234,UCfWs_St76QGwtL2moa_Y_tg
Cinebap,https://youtube.com/@cinebap,cinebap,55000.0,,regional vlog,,1530000,143428496,226,UCM7hiGoLaBdbiYUCDtx9JEg
Vinay Kuyya 01,https://youtube.com/@vinaykuyya12345,vinaykuyya12345,30000.0,,regional vlog,,18,666,27,UC0FA3XKNnHVJgunCLGNcCcA
Deep Bro,https://www.youtube.com/@Deepbroofficial,Deepbroofficial,22000.0,,regional channe;,,122000,11997795,94,UCZpqE2N4tyOtHsTj7i3XXfg
Cinebap Mrinmoy,https://youtube.com/@cinebapmrinmoy4279,cinebapmrinmoy4279,35000.0,,regional vlog,,800000,78163129,114,UC3Iv4GilW4oPl_E1DPMMWnw
Telugu Guy Reacts,https://youtube.com/@teluguguyreacts,teluguguyreacts,10000.0,,,,92300,46248697,1336,UCgIHKh6DE7rerUy5d0yWglQ
Pukur Pakami,https://www.youtube.com/@PukurPakami,PukurPakami,20000.0,,regional reaction channel,,393000,51119453,196,UC0xRgccM7ghCMP2fpbFo3mA
MrDasuOfficial,https://www.youtube.com/@mr.dasuofficial,mr.dasuofficial,8000.0,,Telugu Entertainment,,47600,16959115,187,UCRWqfx01O8FTCgowcCNLEXQ
Badmas Bipua,https://www.youtube.com/@BadmasBipua,BadmasBipua,19000.0,,regional channel,,317000,38564977,250,UCb9bX5d10SNxcYLogR9qfng
Rakus,https://www.youtube.com/@Rakus118,Rakus118,40000.0,,ff creator,,306000,40466798,130,UCGeV-3R502w6bllp2EQ8zzg
Alok Games,https://www.youtube.com/@alokgames01,alokgames01,35000.0,,"gaming, baacho wala content",,930000,160223244,232,UCYvaSyUtwXeeax6RQ7LGMCQ
LEXXA,https://www.youtube.com/@lexxa_ff,lexxa_ff,15000.0,,"gaming ,ff",,87700,7125310,191,UCqmWCqEBvDa47x8Ms7PqTOw
Vishwas Kaushik,https://www.youtube.com/@VishwasKaushik,VishwasKaushik,35000.0,,omegle,,587000,151827786,208,UCnLSF7WSRy3DWOSNtHcEqXQ
The Harshit Vlogs,https://www.youtube.com/@theharshitvlogs,theharshitvlogs,90000.0,,proper vlogging,,678000,105555970,148,UCJ3T4IvoVnQDenU8H59a__w
YashTipps,https://www.youtube.com/@YashTipps,YashTipps,14000.0,,earning,,96200,784125,63,UCdOfHck0VeYwvNBAwkG8QiA
ANGROZA LIVE,https://www.youtube.com/@ANGROZALIVE,ANGROZALIVE,,,"gaming , BGMI",betting also,308000,65558909,1126,UCqr-gNIvWmJHt1Nvs3Y19OQ
Crazy Indian GAMER,https://www.youtube.com/@crazyindgamerr,crazyindgamerr,,,"gaming , bachoo ka game",depends on brand,872000,342981147,737,UCYvbyQoITiNEVOoFI7VSwlg
Junkeyy,https://www.youtube.com/@junkeyy,junkeyy,120000.0,,,,3440000,996536593,423,UCJS4UHGP6Q3BI-0ZIGrGXgw
BOSS OFFICIAL,https://www.youtube.com/@bossofficial99,bossofficial99,30000.0,,,,2700000,312847599,665,UC2Xk4lbJdsiM-AZx3cCv3Ww
Aman With You,https://www.youtube.com/@AmanBhatii,AmanBhatii,,,comedy,non betting,2130000,833635663,388,UCCzfVCAoHcI6ee8An1J-12w
Beston Boy,https://www.youtube.com/@Beston_Boy,Beston_Boy,35000.0,,gaming,,800000,102319965,1491,UCMOkSBH8f5wlcaC98ahY5Cg
Kpop Funny BD,https://www.youtube.com/@kpopfunnybd,kpopfunnybd,6000.0,,bangali,,124000,27476860,199,UCT3vFvSrkCLSooq2nexQQXw
Hunter Naresh,https://www.youtube.com/@HunterNaresh,HunterNaresh,30000.0,,non bet,,712000,123162749,657,UCdj9RwSeEB5-phUHigoSvKg
Panduthoracha ,https://youtube.com/@panduthoracha_06,panduthoracha_06,40000.0,,regional vlog,,198000,51013519,201,UCH1BTrV7ky84Vo27Y0_5zHg
Sumit 007,https://www.youtube.com/@sumit007yt,sumit007yt,60000.0,,coc,,2470000,706507421,2077,UCrWdPsIgE4GIWGiFUMHL4bQ
TLS WARRIOR,https://www.youtube.com/@tlswarrior,tlswarrior,90000.0,,"gaming, FF",,4800000,2584579243,1094,UC5vhW5o-lwr1x1sdszzPB1w
KASHMIRI KALKHARABS,https://www.youtube.com/@kalkharabs,kalkharabs,20000.0,,comedy,Betting,989000,243117784,400,UCf9aEHz2qK1cjCfP5BzbM3Q
Amir Extra,https://youtube.com/@amirextra3,amirextra3,50000.0,,"gaming, FF",,8000000,1576189963,482,UCXga7_DonV8f-ApUq2Du8KQ
Gems Bishwakarma,https://www.youtube.com/@gemsbishwakarma,gemsbishwakarma,16000.0,,nepali,,167000,22137363,92,UCdUU0ZHssxP_WauE6zXQRLA
Parbat Basnet ,https://www.youtube.com/@parbatbasnet457,parbatbasnet457,20000.0,,comedy,,122000,49708396,267,UC_-2sZRl5Cl2eUot2DN_Pgw
SAGAR OD,https://www.youtube.com/@sagarod1,sagarod1,30450.0,,gaming,,315000,56828356,238,UCAPFdpQR3Srq1OCVApSO_xw
KANXA ffx,https://www.youtube.com/@KANXAffx,KANXAffx,13050.0,,"gaming, FF",,138000,37638669,750,UCD1RQO13PyhjvBUBYQribsA
RIMO OP,https://www.youtube.com/@rim0op,rim0op,5000.0,,"gaming, FF",,26200,4978036,88,UC3B7G2FOvomZ9a9bD-l8W9Q
Mabu Crush,https://www.youtube.com/@mabucrush_,mabucrush_,150000.0,,gaming,,9750000,9532893462,1632,UChJRDTWVS8JaDbhsclfTUKg
Or Goppo,https://www.youtube.com/@orgoppo,orgoppo,30000.0,,gaming,,566000,104097205,223,UCOd2DHtpFx4n14-mKuu2lMQ
Bidushi Plays,https://www.youtube.com/@BidushiPlays,BidushiPlays,17400.0,,gaming,,195000,32294550,324,UCA60PHbjmImwMh7cidZIJOw
NOTAXID YT,https://youtube.com/@notaxidyt,notaxidyt,6000.0,,gaming,,282000,27461305,397,UC2XrH2lTwipE_47pb-kbUBw
Golden Cricket,https://youtube.com/@the-dj8hh,the-dj8hh,25000.0,,cricket (non bet),,1110000,152951968,1720,UC-ezJZD3_zet4Sblaemnxnw
NG E-SPORTS,https://www.youtube.com/@NGESPORTS,NGESPORTS,8000.0,,gaming,,297000,53261391,305,UCSiFUsg58S4ptgnMZAznomQ
Bong Gamer ,https://www.youtube.com/@BongGamer09,BongGamer09,15000.0,,bangla,,218000,69155108,123,UCr7lKipzDSHjpyWuTrtlZ2A
SMOOTH & SNEAKY,https://www.youtube.com/@smoothsneaky6998,smoothsneaky6998,25000.0,,non bet,,927000,50550021,188,UCO5xC5W6dWOucIjy3bTYCzQ
DESI CHHORA_YT,https://www.youtube.com/@DESICHHORAYT,DESICHHORAYT,45000.0,,,,2260000,558906218,1008,UCJ7qBM7kWk30geT_w0V84Xg
Spunky OP,https://www.youtube.com/@SpunkyOP,SpunkyOP,20000.0,,,,162000,8288147,28,UClQPid8euFkZYPCbBzRqRCg
Ginni Pandey Pranks,https://youtube.com/@ginnipandeypranksss,ginnipandeypranksss,30000.0,,,,822000,184659637,346,UCw4V9c5BkT6PO-nknKTbLiw
with Ginni pandey,https://youtube.com/@withginnipandey215,withginnipandey215,30000.0,,,,830000,392175245,1159,UChIVJYTwOAFuvVadMTmVX5g
King Vines,https://youtube.com/@kingvines09,kingvines09,150000.0,,,,394000,109454539,27,UC5VX1ckWpFMhVgyP56eOhBQ
LB Vlogs 🇳🇵,https://youtube.com/@lbvlogs12,lbvlogs12,100.0,,,,87100,19430625,413,UCAjBPdwDaVw0uUxE-TbezPQ
Mr. Sar_faraz,https://youtube.com/@mrsarfaraz,mrsarfaraz,35000.0,,,,241000,143248876,1330,UCplgv9GHkM6IYzXInReZPLw
Movie With Me,https://youtube.com/@moviewithmee,moviewithmee,80.0,,,,108000,25451186,76,UCEcOsNaGgkYBCacANSfzM0w
With Pandey,https://www.youtube.com/@pandeyshivah,pandeyshivah,30000.0,,,,1630000,1055095519,2157,UCyakDpV1G9UDFDjb9hrKLmg
Drama With Me,https://youtube.com/@dramawithmee,dramawithmee,100.0,,,,160000,29706701,130,UCzu-fVOIbIyoDLgU9hHLmJQ
Samar Playz,https://www.youtube.com/c/samarplayz,samarplayz,12000.0,,non bet,,198000,118393063,949,UC9FxglO3Kz_oAHbM-uSisqg
Biyadob Team08,https://youtube.com/@biyadobteam08,biyadobteam08,50000.0,,,,447000,210868059,190,UCk7zKhvzSTXZ-ByM7YhIghw
Explain with me,https://youtube.com/@explainwithmeee,explainwithmeee,100.0,,,,191000,31371580,113,UCVX2Ko3u2NiVdK148LNOXNQ
Sheikh Bros,https://www.youtube.com/@sheikh_bros,sheikh_bros,15000.0,,,Betting,1190000,348901034,1510,UCBvYrNa5k4uEM9yQdGU75Og
Manik Atri Vlogs,https://www.youtube.com/@manikatri,manikatri,110000.0,,,Betting,1430000,156735781,301,UCe0yEJWiEdY_Vz0oWBbbmvQ
Swati Rojha,https://www.youtube.com/@SwatiRojha,SwatiRojha,,,travel vlog,,617000,85133094,291,UCfA2ry4izp8ldvJVLIlnUCg
 THEMP04RIDER BACKUP,https://www.youtube.com/@mp04backup,mp04backup,15000.0,,,Betting,144000,15541079,124,UCVKfiGK6RpiIhulAMO7u2ig
Happy sibling vlogs ,https://youtube.com/@siblingslove892,siblingslove892,30000.0,,,,503000,186400949,828,UC5F0oz5sjbp8X82SW7j47vQ
Odia Hungama,https://www.youtube.com/@OdiaHungama,OdiaHungama,12000.0,,,,180000,24599576,184,UCw2U3PuCGwS2tgrRzPczUHA
Khanti Odia Toka Dipu,https://www.youtube.com/@khantiodiatokadipu,khantiodiatokadipu,7000.0,,,,161000,3458376,72,UCe7Urmobj98ciCiFABn8JFg
AJJU THO MACHA ,https://www.youtube.com/@ajjuthomacha,ajjuthomacha,30000.0,,,,369000,47723595,198,UCuH27sso_xLlPTFnH_KiEbw
Mr Ajay official,https://www.youtube.com/@mrajayofficial96,mrajayofficial96,45000.0,,,,584000,134801521,454,UCpSIN3cujV2JhoDhwfV4P6g
Lairaba World,https://www.youtube.com/@lairabavlog,lairabavlog,30000.0,,,,168000,32258616,298,UC5jgXWC-t-xq_USz25vpatg
kANGLEI PR,https://www.youtube.com/@kangleipr8832,kangleipr8832,35000.0,,,,263000,38653464,206,UC3bd2qV5zDp4-l-YWqp6nMw
Drama Story SJ,https://www.youtube.com/channel/UCblUlcyPphTlINTVvIMK2fA,UCblUlcyPphTlINTVvIMK2fA,8000.0,,,,172000,34157907,183,UCblUlcyPphTlINTVvIMK2fA
Anju Love Story,https://www.youtube.com/@moviestorysj5,moviestorysj5,7000.0,,,,136000,35378589,152,UCcl8gioCRLSpcohdXm98qTA
Tagaru Gaming,https://www.youtube.com/@tagarugaming,tagarugaming,20000.0,,,,704000,117158944,568,UCJWlMccXAR0yUDgwfoF8how
Levixx Plays,https://www.youtube.com/@levixxog,levixxog,20000.0,,,,575000,3588209,74,UCarIWa8XpkYuiejKs0pNt0w
NG SK GOD,https://www.youtube.com/@SK_GOD1.,SK_GOD1.,15000.0,,,,12100,2268595,265,UCPULet2WbVwDVAoNSo6NunQ
WHITEN 69,https://youtube.com/@whitenfreefire,whitenfreefire,,,"gaming, FF",,112000,5217817,17,UCxdjia6wWB-TEROEgeEf4pQ
ABHINAV HOON,https://youtube.com/@abhinavhoon,abhinavhoon,,,vlogging,,666000,264655940,1308,UC7z_9n55kHcDBZwmXU-h3TQ
WHITEN LIVE,https://youtube.com/@whitenfreefirelive,whitenfreefirelive,,,"gaming, FF",,34600,1033935,6,UCuwmj77qsUgvIYOzpeAC9OQ
VChandi Gaming,https://www.youtube.com/@VChandiGaming,VChandiGaming,20000.0,,,,2,35,1,UCvh4jxLsU_EAN6VtwQcBxcA
Gaming Preet,https://www.youtube.com/@GAMING_PREET_OFFICIAL,GAMING_PREET_OFFICIAL,10000.0,,,,42600,4793465,164,UCNmbmJlyNGaEQFChioDv6nQ
Kill2Head,https://www.youtube.com/@kill2head,kill2head,,,"gaming, ff",,5340000,925409274,1412,UCwMauD7qRqr_ZXUTqRGHOjg
A_s Highlights,https://www.youtube.com/@a_shighlights9137,a_shighlights9137,,,"gaming, ff",,1900000,158691552,1173,UCgfpGB45S73QFyNLBXek3sQ
Sahil Rana,https://www.youtube.com/@sahilranavlogs,sahilranavlogs,,,vlog,,1530000,98987189,296,UCQnZPHf1ka2YkAp8evQmwOA
The Roamer Amit,https://www.youtube.com/@TheRoamerAmit,TheRoamerAmit,,,vlogs,,12300000,9737730368,898,UC_cecSRU92J2m-BrgbEyfSQ
AS Gaming,https://www.youtube.com/@ASGamingsahil,ASGamingsahil,,,"gaming, ff",,20700000,3382361032,1769,UCMrvxKTx9hLhZcOvJkYOnAw
A_S SHORTS,https://www.youtube.com/@a_sshorts/streams,a_sshorts,,,"gaming, ff",,1400000,189789846,976,UCnn5fF1IHvGokWf95s17J7g
Spicy Rimon,https://www.youtube.com/@SpicyRimon,SpicyRimon,20000.0,,,Betting,91100,5478534,61,UCiW0yjXNnOdWusVHzTS0D3g
Anmol koli,https://youtube.com/@AnmolKoli1,AnmolKoli1,35000.0,,,Betting,154000,19341270,84,UCq3N-tSjUu-y49DfcKzGNPA
SkyMb,https://www.youtube.com/@skymb,skymb,6000.0,,,Betting,84300,8287530,194,UC_SvL2zgCOk_qoIG--H0D6Q
Raies Malik,https://www.youtube.com/@raiesmalik,raiesmalik,15000.0,,,Betting,335000,31950134,241,UCam_b61AwLE4oeYbfGU0Ngw
CHOTTO CHELE,https://www.youtube.com/@chottochele,chottochele,135000.0,,,non betting,829000,64484653,107,UCsyuLx-m21pz858d6yMbs1g
TimTim ,https://www.youtube.com/@HelloTimTim,HelloTimTim,35000.0,,,Betting,94500,13214095,79,UC_9SXJQvE9r8Bd0l7F4PjOg
Bengal Yt,https://youtube.com/@bengalyt99,bengalyt99,25000.0,,,betting,357000,128043000,149,UCMrSZoiZxHZd6kwGOWo6Xdg
